DIN,Name,Restaurant,Ingredient,Category,Calorie,Price,Img,Score
?,Combo Appetizer,Texas Roadhouse,Boneless Buffalo Wings (tossed in your choice of Mild or Hot sauce) along with Rattlesnake Bites and Tater Skins. Substitute Fried Pickles at no additional charge. Served with your choice of two dipping sauces.,appetizer,1270,9.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/combo-appetizer.jpg,0
?,Texas Red Chili,Texas Roadhouse,"Made-from-scratch recipe, topped with cheddar cheese and red onions.",appetizer,310,2.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/texas-red-chili.jpg,0
?,Killer Ribs,Texas Roadhouse,Basket of our award-winning ribs with steak fries.,appetizer,720,8.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/killer-ribs.jpg,0
?,Boneless Buffalo Wings,Texas Roadhouse,Hand-breaded all white meat chicken tossed in your choice of Mild or Hot sauce and served with celery and Bleu Cheese dressing.,appetizer,960,8.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/boneless-buffalo-wings.jpg,0
?,Tater Skins,Texas Roadhouse,"Topped with cheddar cheese, bacon and sour cream",appetizer,1290,6.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/tater-skins.jpg,0
?,Fried Pickles,Texas Roadhouse,"Basket of pickle chips hand-battered, golden-fried and served with Ranch or Cajun Horseradish sauce for dipping.",appetizer,670,4.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/fried-pickles.jpg,0
?,Rattlesnake Bites,Texas Roadhouse,"Diced jalapenos and jack cheese, hand-battered, lightly-fried and served with Cajun Horseradish sauce for dipping.",appetizer,1040,5.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/rattlesnake-bites.jpg,0
?,Cheese Fries,Texas Roadhouse,A heaping amount of golden brown steak fries topped with melted cheddar cheese and bacon. Add chili for just 79 cents. ,appetizer,1210,6.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/cheese-fries.jpg,0
?,Grilled Shrimp,Texas Roadhouse,Seasoned shrimp drizzled with garlic lemon pepper butter and served on toasted fresh-baked bread.,appetizer,590,5.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/grilled-shrimp.jpg,0
?,Cactus Blossom,Texas Roadhouse,"Texas-sized onion, golden-fried and served with Cajun Horseradish sauce for dipping.",appetizer,1720,5.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/apps/cactus-blossom.jpg,0
?,Caesar Salad,Texas Roadhouse,"Crisp hearts of romaine, fresh Parmesan cheese and made-from-scratch croutons tossed with our zesty Caesar dressing.",appetizer,440,3.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/salads/caesar-salad.jpg,0
?,Chicken Caesar Salad,Texas Roadhouse,"Tender strips of grilled chicken tossed with crisp hearts of romaine, fresh Parmesan cheese, made-from-scratch croutons and our zesty Caesar dressing.",appetizer,1140,9.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/salads/chicken-caesar-salad.jpg,0
?,Grilled Chicken Salad,Texas Roadhouse,"Crisp cold greens, strips of marinated chicken, jack cheese, egg, tomato, bacon, red onions and croutons.",appetizer,790,9.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/salads/grilled-chicken-salad.jpg,0
?,Chicken Critter Salad,Texas Roadhouse,"Hot, crispy strips of chicken piled high on a bed of cold greens with jack and cheddar cheeses, egg, tomato and bacon.",appetizer,920,9.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/salads/chicken-critter-salad.jpg,0
?,Steakhouse Filet Salad,Texas Roadhouse,"Salad greens drizzled with Italian dressing, topped with tender filet strips, Bleu Cheese crumbles, bacon bits, red onions, tomatoes and croutons, and served with a side of creamy Bleu Cheese.",appetizer,910,13.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/salads/steakhouse-filet-salad.jpg,0
?,House Salad,Texas Roadhouse,"Fresh greens, cheddar cheese, tomato, eggs, and made-from-scratch croutons. ",appetizer,230,3.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/salads/house-salad.jpg,0
?,Ft. Worth Ribeye,Texas Roadhouse,Very juicy and flavorful due to the marbling throughout the steak. Served with your choice of two sides.,dinner,800,15.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/ft-worth-ribeye.jpg,0
?,Dallas Filet,Texas Roadhouse,Our most tender steak that is lean and melts in your mouth. Served with your choice of two sides.,dinner,270,17.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/dallas-filet.jpg,0
?,Usda Choice Sirloin,Texas Roadhouse,"Most popular because they are hearty, flavorful and a great value. Served with your choice of two sides.",dinner,250,10.49,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/usda-choice-sirloin.jpg,0
?,New York Strip,Texas Roadhouse,This generous 12 oz. cut is aged longer for extra tenderness and flavor. Served with your choice of two sides. Also available in 8 oz. Thick Cut.,dinner,1060,13.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/new-york-strip.jpg,0
?,Bone-In Ribeye,Texas Roadhouse,"20oz. cut of our juicy, flavorful ribeye served on the bone for extra flavor. Served with your choice of two sides.",dinner,1110,24.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/bone-in-ribeye.jpg,0
?,Porterhouse T-Bone,Texas Roadhouse,Filet and New York Strip come together for one 23 oz. Texas-sized USDA Choice steak. Served with your choice of two sides.,dinner,1040,26.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/porterhouse-tbone.jpg,0
?,Steak Kabob,Texas Roadhouse,"Marinated steak with onion, mushroom, tomato, red pepper and green pepper served on a bed of seasoned rice with your choice of one side.",dinner,1000,11.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/steak-kabob.jpg,0
?,Road Kill,Texas Roadhouse,"A 10 oz. chop steak smothered with saut_ed onions, saut_ed mushrooms and jack cheese. Served with your choice of two sides.",dinner,850,9.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/road-kill.jpg,0
?,Filet Medallions,Texas Roadhouse,Three (9 oz. total) tender filets topped with choice of Peppercorn or Portabella Mushroom sauce and served over seasoned rice.,dinner,830,19.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/filet-medallions.jpg,0
?,Prime Rib,Texas Roadhouse,Our flavorful ribeye steak slow-cooked to perfection. Served with your choice of two sides.,dinner,1020,16.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/steaks/prime-rib-12oz.jpg,0
?,Ribs,Texas Roadhouse,Our award-winning ribs are slow-cooked with a unique blend of seasonings and our signature BBQ sauce. Served with your choice of two sides.,dinner,730,13.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/ribs/full-slab.jpg,0
?,Grilled Bbq Chicken Combos,Texas Roadhouse,Each combo is served with your choice of two sides.,dinner,550,18.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/combos/grilled-bbq-chicken-6oz-sirloin.jpg,0
?,Bbq Roasted Half Chicken Combos,Texas Roadhouse,Each combo is served with your choice of two sides.,dinner,900,18.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/combos/bbq-roasted-chicken-6oz-sirloin.jpg,0
?,Ft. Worth Ribeye Combos,Texas Roadhouse,Each combo is served with your choice of two sides.,dinner,1390,20.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/combos/10oz-ribeye-ribs.jpg,0
?,Usda Choice Sirloin Combos,Texas Roadhouse,Each combo is served with your choice of two sides.,dinner,840,15.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/combos/sirloin-grilled-shrimp.jpg,0
?,Dallas Filet Combos,Texas Roadhouse,Each combo is served with your choice of two sides.,dinner,860,22.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/combos/6oz-filet-grilled-shrimp.jpg,0
?,Portobello Mushroom Chicken,Texas Roadhouse,"Grilled, marinated chicken breast with Portobello Mushroom sauce, jack cheese and fresh Parmesan cheese. Served with your choice of two sides. Not available at all locations.",dinner,470,11.99,https://m.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/portobello-mushroom-chicken.jpg,0
?,Smothered Chicken,Texas Roadhouse,"Grilled, marinated chicken breast with saut_ed onions, saut_ed mushrooms and choice of cream gravy or jack cheese. Served with your choice of two sides.",dinner,410,11.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/smothered-chicken.jpg,0
?,Bbq Roasted Half Chicken,Texas Roadhouse,"A half chicken trimmed, uniquely seasoned, slow-roasted to the perfect tenderness while basted with our signature BBQ sauce. Served with your choice of two sides.",dinner,650,10.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/bbq-roasted-half-chicken.jpg,0
?,Oven Roasted Half Chicken,Texas Roadhouse,"Half chicken trimmed, uniquely seasoned and slow-roasted to the perfect tenderness. erved with your choice of two sides.",dinner,540,10.99,https://www.texasroadhouse.com/sf-images/default-source/mobile-app-menu/chicken/roasted-half-chicken.jpg,0
